Name	Formula	Mass	Frequency [meV]	Reference_Alpha	Reference_ZPR
mp-23485	Ag2HgI4	0.191774802241	0.387428	1.081307	-11.628238
mp-23513	K2PtCl6	0.6229787041000001	0.315731	5.513369	-75.762949
mp-2352	Na2O	0.319350442321	0.063504	1.925421	-100.826827
mp-23550	KBrF4	1.316772315049	0.455475	7.865795	-276.754446
mp-23703	LiH	0.386293325625	0.019829	1.120302	-149.813121
mp-2371	Ga2Te5	0.157933118464	0.303345	0.352719	-5.247086
mp-23737	KMgH3	0.349336556209	0.096865	1.283068	-152.563997
mp-23804	Mg2FeH6	0.947618530849	0.171285	2.28083	-118.47931
mp-23818	BaLiH3	0.37013595854400005	0.08949	0.973296	-110.246726
mp-23859	CaHCl	0.6248570494410001	0.155289	2.476109	-126.200352
mp-23860	SrHCl	0.5348713598010001	0.169445	2.528441	-117.10443
mp-23861	BaHCl	0.5320360304639999	0.182954	2.501178	-109.796656
mp-23862	BaHI	0.47361924000000005	0.215389	1.965315	-65.435742
mp-23870	NaH	0.547873834225	0.021307	2.123224	-234.560889
mp-239	BaS3	0.686756949264	0.289783	1.777586	-36.525104
mp-23949	RbCaH3	0.485972111689	0.119838	2.552051	-199.142119
mp-23956	K2MgH4	0.45451058227600005	0.163222	1.633695	-177.57624
mp-2400	NaS	0.47049996490000007	0.304157	1.991937	-55.57776
mp-24007	Rb2HBrO	0.38314490616899993	0.4363	4.527208	-103.050593
mp-24066	SrHClO	0.40195219600900006	0.259183	3.198622	-123.327833
mp-24084	KH	0.530898762384	0.02289	2.447692	-235.174985
mp-241	CdF2	0.373250127364	0.064025	2.971052	-138.013113
mp-24292	Sr2H6Ru	0.699846018624	0.193101	2.748957	-99.130214
mp-24341	CsBeH3	0.695067361849	0.299204	3.799283	-178.862801
mp-24423	SrHBr	0.5124612664959999	0.188032	2.422439	-92.442362
mp-24424	BaHBr	0.512276590225	0.201435	2.410287	-87.961042
mp-24428	KH2N	0.43475033473600005	0.209305	4.408446	-158.052273
mp-2455	As2Os	0.5453261254439999	0.189823	0.395048	-12.4827
mp-24589	K2HBrO	0.406132171225	0.391475	4.340902	-117.260734
mp-2469	CdS	0.11185078248099999	0.033712	0.399122	-14.17201
mp-2472	SrO	0.5366968992160001	0.033194	2.903218	-165.582918
mp-24721	RbH	0.471500582281	0.023618	2.309073	-208.300681
mp-2490	GaP	0.348765838096	0.027909	0.167685	-8.070815
mp-2517	Ca2Si	0.2835882008999999	0.451906	0.385902	-11.568499
mp-252	BeTe	0.386835485521	0.024122	0.175395	-10.916465
mp-2530	Li2Te	0.35723692224900006	0.061974	1.022644	-42.124361
mp-25305	Y2Ti2S2O5	1.1461222660409998	0.342256	1.881604	-129.659876
mp-2534	GaAs	0.024174652324000002	0.032984	0.006524	-0.21911
mp-2542	BeO	0.597391413921	0.064006	1.71233	-229.984324
mp-2552	TeO3	0.442499022436	0.195742	1.50118	-89.088777
mp-2574	ZrO2	0.823922920804	0.150463	2.458455	-166.96711
mp-2576	Sr2Ge	0.213377477184	0.584923	0.418034	-6.875202
mp-2600	BaTe	0.833377281025	0.057325	2.681301	-42.509148
mp-2605	CaO	0.588172421776	0.029004	2.57975	-176.982796
mp-2624	AlSb	0.373618005049	0.029916	0.101484	-4.133882
mp-2646	Mg3Sb2	0.292290528321	0.171066	0.520529	-13.61729
mp-2657	TiO2	0.857270440321	0.162413	1.86859	-166.813735
mp-2659	LiN3	1.8583905799840004	0.08495	8.16609	-421.814922
mp-2667	CsAu	0.23767282528899997	0.066732	1.288397	-11.931629
mp-267	Te2Ru	2.335147678161	0.200394	0.542296	-15.803854
mp-2672	K2O2	1.0096250496010002	0.26838	5.183989	-194.943499
