Name	Formula	Mass	Frequency [meV]	Alpha	Reference_Alpha	ZPR	Reference_ZPR	Error
mp-28797	YHSe	0.26357956	88.0023	0.23615956926427178	0.2362	-20.843936878560523	-20.7837	0.2898275021315917
mp-961713	ZrSnPt	0.86007076	24.648799999999998	0.23788416762146658	0.2379	-5.880996865120609	-5.8634	0.3001136733057306
mp-961706	TiSiPt	0.53890281	36.1949	0.17435438647461363	0.1743	-6.32445011798967	-6.3106	0.21947386919896958
mp-961684	LiCaAs	0.58125376	34.4245	0.806820269357468	0.8069	-28.06324924450938	-27.7755	1.0359822307766842
mp-961682	TiSnPd	0.91757241	30.1362	0.16137535269795794	0.1614	-4.873012684609205	-4.8631	0.2038346858835887
mp-961673	TiFeTe	0.65674816	44.8977	0.2968997300449011	0.2969	-13.379744490257805	-13.3305	0.36941217702114676
mp-924130	TiNiSn	0.84658401	35.6729	0.17090430947934748	0.1709	-6.1096333826170035	-6.0967	0.2121374287237895
mp-31454	TaSbRu	0.31259281000000005	34.9988	0.2148919064381965	0.2149	-7.541139577370469	-7.5203	0.2771109845414314
mp-999549	WN2	0.59459521	77.6136	0.00196475007379058	0.002	-0.15249510381817827	-0.1529	-0.2648111064890386
mp-9124	LiZnAs	0.0529	33.7633	0.06872722497768663	0.0687	-2.3224349671785682	-2.3208	0.07044843065184575
mp-567636	VFeSb	0.51208336	44.978	0.18610804147942908	0.1861	-8.390191191927832	-8.3704	0.23644260642061932
mp-2697	SrO2	0.6436852900000001	46.8098	3.1033714935892798	3.1035	-151.9980461172041	-145.2743	4.628310800467864
mp-1153	Li2S	0.400689	57.011	1.1534047192577381	1.1533	-66.75383221862351	-65.7516	1.524270464328653
mp-11327	Rb2Se	0.30713764000000005	16.6721	2.0805235237811135	2.0806	-35.69059519820643	-34.6882	2.88972964352843
mp-10182	LiZnP	0.33200644000000007	46.037	0.3146758190629086	0.3147	-14.54394898202742	-14.4859	0.4007274800144887
mp-8041	Rb2S	0.33396840999999994	25.0417	1.9818398295194584	1.9817	-50.98823840362578	-49.6263	2.7443883658982804
mp-441	Rb2Te	0.29246463999999994	13.3853	2.0174264185587245	2.0175	-27.758636227944734	-27.0054	2.7892059660095114
mp-2784	Na2Te	0.20675209	22.4318	1.0941095793538205	1.0942	-24.89465793734361	-24.5447	1.425798389646688
mp-2741	CaF2	0.5499705600000001	57.7844	3.498218915513091	3.4981	-213.02144146972412	-202.1339	5.386301590047049
mp-23209	SrCl2	0.3724660899999999	28.071	2.730356831920101	2.7303	-79.68488093430379	-76.6424	3.969709892049044
mp-1960	Li2O	0.519841	87.976	1.849172002203758	1.8491	-166.80650368549735	-162.6791	2.5371444060714263
mp-971	K2O	0.389376	42.1839	2.2308115274728437	2.2309	-97.05331238293437	-94.107	3.130811079871174
mp-8426	K2Se	0.3147210000000001	20.409399999999998	1.957596459616632	1.9574	-41.03285705007823	-39.9499	2.710787887024068
mp-34932	CaHN	0.33408399999999994	64.527	1.177801956969514	1.1778	-77.17846018847143	-76.002	1.547933197115126
mp-2352	Na2O	0.31933801000000006	52.3662	1.5797418565245973	1.5798	-84.48700088860019	-82.7289	2.125135096199994
mp-2286	Li2Se	0.37711880999999997	47.336	1.0301490297016036	1.0302	-49.418866284877986	-48.7651	1.340643790083459
mp-1747	K2Te	0.29203216	17.0494	1.8033857239573203	1.8035	-31.504555166117623	-30.7488	2.4578362931809483
mp-1266	Na2Se	0.224676	26.4068	1.221337632650316	1.2213	-32.771499833898716	-32.2506	1.6151632338583384
mp-1022	K2S	0.352836	28.6267	1.9933677695185856	1.9932	-58.63707179804486	-57.06	2.763883277330626
mp-7188	Al2Os	0.66487716	43.3382	0.3820524479262984	0.382	-16.637147934448958	-16.5573	0.4822521452710069
mp-648	Na2S	0.27888961	35.3016	1.4002102155193155	1.4003	-50.35279620973724	-49.4337	1.859250288239077
mp-5967	TiCoSb	2.14974244	40.5306	0.47487473608777825	0.4749	-19.36265920631896	-19.2467	0.6024887711605549
mp-3432	ScNiSb	1.0144518400000002	31.754	0.20532928408112205	0.2053	-6.536734292693108	-6.52	0.25666093087589636
mp-2530	Li2Te	0.35724529	41.1916	0.8392588181843119	0.8393	-34.94509226605509	-34.5703	1.0841452520084824
mp-11869	HfSnPd	0.5694211600000001	24.8915	0.15853502326312766	0.1585	-3.9539637593040884	-3.9459	0.2043579235177887
mp-10616	BaLiAs	0.16670889	24.0688	0.5228781202179688	0.5229	-12.668565638682226	-12.5856	0.6592108336688505
mp-981	SrF2	0.50951044	47.3787	3.64621260573084	3.6462	-182.55818940151255	-172.7511	5.677005472910182
mp-9437	NbFeSb	0.3113640000000001	43.8876	0.17796075128776875	0.178	-7.8275927977354565	-7.8104	0.22012698114638046
mp-7575	LiZnN	0.10837263999999999	65.3854	0.23537608403922614	0.2353	-15.435439644263859	-15.3882	0.3069861599398202
mp-568662	BaCl2	0.8909472099999999	25.4163	4.306978537950778	4.307	-117.23170213642472	-109.4673	7.092896359392002
mp-1569	Be2C	0.31483321000000003	116.53610000000002	0.4450177346295499	0.445	-52.15231856843016	-51.859	0.565607837463428
mp-1105	BaO2	0.59459521	42.4887	2.8919474943413523	2.8921	-128.09857928137825	-122.8801	4.246805854958004
mp-7896	Cs2O2	0.56055169	31.8099	2.7328834020272934	2.7331	-90.3858238965342	-86.9381	3.965722619351239
mp-753287	CaCdO2	0.17164449	59.9175	0.8306047382426507	0.8306	-50.30132932412333	-49.7682	1.0712248466356622
mp-675902	YCuSe2	0.68343289	27.0599	0.5992630400197567	0.5992	-16.339842265948327	-16.2155	0.7668111741748861
mp-505297	NbSbRu	0.28323684	36.207	0.17819581623496675	0.1782	-6.466264848641381	-6.4514	0.23041275756241095
mp-1029	BaF2	0.48274703999999996	41.7429	3.696538511036375	3.6964	-163.21956627940233	-154.3004	5.780390899441825
