Name	Frequency [meV]	ZPR [meV]	Reference_Alpha	Reference_ZPR [meV]
mp-4187	1524.3850064199487	-84.559031	1.039498	-83.053608
mp-4190	1012.6357303410224	-124.165253	1.781783	-119.2355
mp-4200	1814.6943847371072	-447.073671	4.986199	-395.565093
mp-422	83.00841118522764	-38.469954	0.460761	-38.247038
mp-4236	938.1680144007233	-107.480133	2.074001	-102.21828
mp-4280	381.3569236377975	-59.266167	0.851152	-58.445694
mp-4342	396.1499263152162	-159.310444	4.667097	-151.342438
mp-4359	487.70362333412004	-98.637003	2.045592	-94.883189
mp-4360	642.0736464499327	-210.103714	4.081268	-182.551024
mp-4385	1309.5064123413827	-164.683833	3.936809	-158.573231
mp-4405	65.82441069769405	-41.289282	2.29578	-38.263685
mp-4406	1710.9259664648118	-200.22258	3.311795	-191.622767
mp-441	30.688850877002235	-34.473897	2.456651	-32.882854
mp-4452	494.2055140461954	-23.199018	0.649044	-22.96539
mp-4495	274.0269818666845	-35.388159	1.479939	-34.680665
mp-4497	2006.7959207964852	-148.616463	1.266564	-145.033869
mp-4511	288.45554556118185	-134.155787	2.349642	-127.232225
mp-4514	1096.7586703035613	-2963.053395	12.788332	-1063.215259
mp-4524	395.62957687715755	-5.371733	0.120596	-5.360903
mp-4531	1063.9316183081528	-450.920046	12.22807	-385.211329
mp-4533	1682.3391875320715	-186.958274	2.891238	-177.791796
mp-4547	231.69826724614765	-61.909158	1.679367	-60.17057
mp-4555	888.7770057093118	-155.355792	2.074138	-149.121258
mp-4586	390.8477963115358	-22.736949	0.63803	-22.468895
mp-4609	1809.5346456979187	-542.935168	6.132514	-453.115935
mp-463	39.03555859418013	-242.119399	5.609998	-218.989404
mp-4636	339.76358411366436	-89.728388	1.331683	-87.89223
mp-4651	905.2807636577357	-509.652569	38.485234	-395.553277
mp-4666	312.43891104731216	-8.582526	0.203183	-8.550284
mp-468	925.0006177765371	-314.147936	3.583815	-284.694224
mp-4690	1159.3285603623597	-321.148537	11.877347	-275.611555
mp-470	605.2480923992388	-102.031898	1.232535	-100.036789
mp-4763	419.3595418644107	-7.474124	0.145405	-7.455977
mp-4782	548.1872438266795	-341.556356	5.785298	-269.714022
mp-4809	471.75624474192637	-19.628572	0.677541	-19.453818
mp-4824	222.05116567102564	-22.945633	0.652613	-22.675327
mp-487	955.171778448422	-15.100074	0.295532	-15.037689
mp-4961	339.6958419121431	-110.117746	2.465841	-105.251363
mp-4979	384.679782014052	-14.382981	0.284349	-14.302379
mp-5012	1960.1148193561962	-228.555619	2.470317	-217.555844
mp-5020	445.74542712484623	-1551.916012	9.248048	-740.729087
mp-5038	471.63347751041493	-52.204611	2.879926	-50.600761
mp-504535	1650.1204340380639	-100.12971	1.234186	-98.577618
mp-5046	1256.1952972706345	-237.783526	2.145551	-228.706692
mp-504729	322.5403402958356	-338.802457	15.751704	-281.515535
mp-5048	308.1157551115864	-23.093034	0.960457	-22.762344
mp-504838	757.9363553951367	-69.430941	3.894636	-67.331711
mp-505297	60.20636547485592	-7.913955	0.218692	-7.888083
mp-505634	215.79382926924058	-18.659889	1.672514	-18.12952
mp-505825	151.20865007184125	-31.038898	2.809337	-30.465473
mp-5061	1740.5554542071218	-303.428388	3.54803	-277.100195
mp-5072	259.43385176907776	-141.435182	5.226304	-131.349121
mp-5077	141.6773967597847	-18.44389	0.702709	-18.323624
mp-5078	904.6049917730734	-267.77971	6.141859	-222.381109
mp-510268	314.1033758139447	-30.478756	2.787925	-29.868248
mp-510273	687.6646774389053	-188.588079	6.546739	-172.201877
mp-5122	695.9468935876754	-30.870452	1.283934	-30.398489
mp-5127	993.3110597427559	-45.631736	0.696845	-45.128035
mp-5132	1662.943888037738	-313.412688	4.160188	-288.990803
mp-5175	307.71805297073854	-94.881453	1.496208	-92.189149
mp-5213	277.81175272693815	-0.832662	0.024651	-0.832356
mp-5238	369.8174324968831	-6.943956	0.191206	-6.922906
mp-5280	1326.2292489003796	-112.454335	25.815802	-109.190248
mp-5339	157.97254760277946	-29.345114	2.005353	-28.405738
mp-5342	333.48648336627065	-11.068181	0.359986	-11.003899
mp-5348	1429.681751953517	-323.516286	4.227095	-300.037476
mp-5350	495.34059708123317	-22.218862	0.564784	-22.01809
mp-5377	1577.8939841370573	-266.470612	3.381979	-244.253784
mp-5380	342.5335701780652	-43.766726	1.194989	-42.825686
mp-539	808.3336624967159	-26.484767	0.9517	-26.188345
mp-5394	239.02844905228105	-72.390487	1.668501	-69.423881
mp-540703	323.92571794493114	-58.246924	2.658768	-53.583314
mp-540957	92.7261871487377	-18.036521	1.828087	-17.578385
mp-541037	316.2422096891784	-79.965856	5.135809	-76.37654
mp-541044	444.63022836971777	-146.869294	2.467231	-137.112123
mp-541226	620.4986237551858	-709.678486	16.776847	-417.303257
mp-5414	447.8185618173348	-27.588173	0.981879	-27.131227
