Name	Alpha	Mobility	mass	eps_ionic	eps_static	volume
mp-568560	2.24829090739459	263.03153086131715	0.5377	5.344919403636743	18.12745902860025	70.4968291907
mp-568619	0.29273606925800144	262.79772813715033	0.6121	7.181215037676059	10.56308694231258	103.427204802
mp-568661	0.20417362763993796	8049.990496051497	0.2927	9.346584656512666	12.899219416873358	196.018969656
mp-568662	4.306978537950778	15.478032960375387	0.9439	3.025236634324961	7.499616909658684	95.1621194406
mp-568968	0.7420974750841588	833.3468121230491	0.4792	6.790430315128273	11.597007799465379	222.844434319
mp-569346	0.1875643571642715	6567.589921177167	0.378	6.60963160648783	7.550960611771424	105.24867189
mp-569442	16.848912220006042	0.007533784471673961	4.9418	3.404907336185352	5.806940413782021	350.02750781
mp-569548	0.7690689428511035	2253.727092319969	0.4532	15.04894840356562	22.701268122220977	328.981686679
mp-569639	2.456355029736378	142.31577791191145	0.5681	4.628438950771571	19.38726468411034	63.4594189557
mp-569677	1.393286834878824	87.9394719389261	0.7272	5.727812066161771	15.37390185692049	104.177720287
mp-569779	0.17957980982826163	677.4508784097385	1.0121	17.769395811580697	20.72473803232924	62.3280852655
mp-569812	2.732467853137371	11.611669807861121	1.0352	3.2925092251544865	7.7954824017797355	188.659143707
mp-570008	0.7266217574839722	294.46936242601487	0.6289	10.991900869740439	32.646402292393326	138.211067377
mp-570097	0.840164076793311	178.20120114092052	0.7121	8.004871006352946	16.655855018588106	121.259601855
mp-570213	0.030412029226598993	120059.04075857953	0.186	23.23413569583947	28.092119298142027	77.0835129113
mp-570324	2.3170275401009985	111.51148070984009	0.68	4.213058072687569	9.154566759707526	308.883262723
mp-570354	1.59193169667764	366.95005526845466	0.5675	8.95556958273895	46.64152764953535	36.4700690813
mp-570485	0.14663830934270342	940.6069558542723	0.5662	14.37542913499127	19.973933821315537	73.437867036
mp-570538	3.3894437497573704	5.783649336338996	1.0957	2.291882184965513	4.812212424252228	57.9571902628
mp-570891	3.3348028364473357	91.51646743147967	0.5658	2.975249497314106	8.57393165256013	60.8118421734
mp-570935	1.1038817242454468	195.25270805200384	0.5755	3.28668739635158	5.026433761539755	127.293364241
mp-571102	1.7422740578179208	490.35027500083646	0.5207	6.53802406790792	17.394998283319783	81.5565384199
mp-571222	3.9287169528433354	86.43011382182054	0.6025	2.657542066807599	5.771990413852285	92.9689071946
mp-571306	0.4244478529616403	376.55525988385125	0.7459	12.68976893451685	20.198059390104078	291.044865564
